thrs,result,step
0.8400,0.3166,279
0.7000,0.3286,559
0.5800,0.3737,839
0.8000,0.3448,1119
0.6000,0.3812,1399
0.7000,0.3904,1679
0.6800,0.3765,1959
0.6200,0.4036,2239
0.6800,0.3880,2519
0.7200,0.3649,2799
0.6200,0.3854,3079
0.7400,0.3841,3359
0.6800,0.4023,3639
0.7200,0.3789,3919
0.7600,0.3946,4199
0.7800,0.3805,4479
0.6800,0.3984,4759
0.7800,0.3697,5039
0.8000,0.3928,5319
0.7200,0.3961,5599
0.7600,0.3901,5879
0.6200,0.3923,6159
0.7400,0.4057,6439
0.7600,0.3609,6719
0.5800,0.3858,6999
0.6800,0.3838,7279
0.5800,0.3598,7559
0.7200,0.3968,7839
0.7800,0.3941,8119
0.8200,0.3881,8399
0.8400,0.3661,8679
0.6000,0.3539,8959
0.7400,0.3822,9239
0.7800,0.4022,9519
0.7400,0.3835,9799
0.7800,0.3696,10079
0.6400,0.3889,10359
0.7600,0.3815,10639
0.7800,0.4034,10919
0.7400,0.3936,11199
0.7200,0.3913,11479
0.7200,0.3729,11759
0.7600,0.3722,12039
0.7000,0.4039,12319
0.8000,0.3761,12599
0.8200,0.3786,12879
0.8400,0.3812,13159
0.6600,0.3907,13439
0.6200,0.3818,13719
0.5800,0.4006,13999
0.8000,0.3976,14279
0.8200,0.3864,14559
0.8400,0.3727,14839
0.6800,0.3903,15119
